"filename", "language", "Java Properties", "XML", "MS SQL", "YAML", "PlantUML", "Java", "Properties", "JSON", "java", "comment", "blank", "total"
"/home/khumbucyber/_projects/food-ordering-system/infrastructure/kafka/kafka-model/src/main/java/com/food/ordering/system/kafka/order/avro/model/PaymentResponseAvroModel.java", "Java", 0, 0, 0, 0, 0, -297, 0, 0, 0, 297, 0, 0
"/home/khumbucyber/_projects/food-ordering-system/infrastructure/kafka/kafka-model/src/main/java/com/food/ordering/system/kafka/order/avro/model/PaymentStatus.java", "Java", 0, 0, 0, 0, 0, -5, 0, 0, 0, 5, 0, 0
"/home/khumbucyber/_projects/food-ordering-system/infrastructure/kafka/kafka-model/src/main/java/com/food/ordering/system/kafka/order/avro/model/Product.java", "Java", 0, 0, 0, 0, 0, -115, 0, 0, 0, 115, 0, 0
"/home/khumbucyber/_projects/food-ordering-system/infrastructure/kafka/kafka-model/src/main/java/com/food/ordering/system/kafka/order/avro/model/RestaurantApprovalRequestAvroModel.java", "Java", 0, 0, 0, 0, 0, -271, 0, 0, 0, 271, 0, 0
"/home/khumbucyber/_projects/food-ordering-system/infrastructure/kafka/kafka-model/src/main/java/com/food/ordering/system/kafka/order/avro/model/RestaurantApprovalResponseAvroModel.java", "Java", 0, 0, 0, 0, 0, -245, 0, 0, 0, 245, 0, 0
"/home/khumbucyber/_projects/food-ordering-system/infrastructure/kafka/kafka-model/src/main/java/com/food/ordering/system/kafka/order/avro/model/RestaurantOrderStatus.java", "Java", 0, 0, 0, 0, 0, -5, 0, 0, 0, 5, 0, 0
"/home/khumbucyber/_projects/food-ordering-system/infrastructure/kafka/kafka-producer/pom.xml", "XML", 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 4, 48
"/home/khumbucyber/_projects/food-ordering-system/infrastructure/kafka/kafka-producer/src/main/java/com/food/ordering/system/kafka/producer/KafkaProducerConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4
"/home/khumbucyber/_projects/food-ordering-system/infrastructure/kafka/kafka-producer/target/maven-archiver/pom.properties", "Java Properties", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/khumbucyber/_projects/food-ordering-system/infrastructure/kafka/pom.xml", "XML", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 5, 73
